Date,close
2019-12-31,56.810001373291016
2020-02-29,46.08000183105469
2020-04-30,52.06999969482422
2020-06-30,54.93000030517578
2020-08-31,57.040000915527344
2020-10-31,61.25
2020-12-31,63.20000076293945
2021-02-28,67.5199966430664
2021-04-30,70.56999969482422
2021-06-30,73.4800033569336
2021-08-31,72.83999633789062
2021-10-31,75.41000366210938
2021-12-31,73.63999938964844
2022-02-28,75.04000091552734
2022-04-30,68.54000091552734
2022-06-30,67.69999694824219
2022-08-31,60.93000030517578
2022-10-31,66.06999969482422
2022-12-31,67.61000061035156
2023-02-28,68.08999633789062
2023-04-30,68.91000366210938
2023-06-30,74.86000061035156
2023-08-31,70.83999633789062
2023-10-31,73.91999816894531
2023-12-31,78.83000183105469
2024-02-29,84.63999938964844
2024-04-30,84.2699966430664
2024-06-30,87.98999786376953
2024-08-31,90.44999694824219
