Date,Amazon,Apple,Meta,Microsoft,NVIDIA
2019-12-31,91.83999633789062,71.25,183.1999969482422,153.66000366210938,5.37375020980835
2020-02-29,90.12999725341797,59.20000076293945,154.74000549316406,147.89999389648438,6.163750171661377
2020-04-30,108.4000015258789,71.51249694824219,201.6999969482422,162.27999877929688,7.730000019073486
2020-06-30,135.10000610351562,86.82499694824219,213.5500030517578,170.5399932861328,8.970000267028809
2020-08-31,136.4250030517578,98.66000366210938,225.6999969482422,179.74000549316406,11.521249771118164
2020-10-31,131.47500610351562,98.5,227.4499969482422,176.67999267578125,10.94124984741211
2020-12-31,132.0500030517578,108.69999694824219,211.6999969482422,192.52000427246094,10.75374984741211
2021-02-28,132.25,104.87999725341797,251.14999389648438,200.89999389648438,11.313750267028809
2021-04-30,132.1999969482422,102.13999938964844,269.0,204.1999969482422,13.260000228881836
2021-06-30,140.89999389648438,122.31999969482422,300.70001220703125,240.75,16.38599967956543
2021-08-31,142.5500030517578,123.13999938964844,294.75,246.14999389648438,17.99799919128418
2021-10-31,156.1999969482422,144.52000427246094,291.6000061035156,293.0,28.389999389648438
2021-12-31,131.77499389648438,154.27999877929688,274.8500061035156,275.75,21.344999313354492
2022-02-28,148.75,159.0800018310547,202.39999389648438,281.04998779296875,25.290000915527344
2022-04-30,109.5999984741211,138.44000244140625,182.02000427246094,252.4499969482422,17.447999954223633
2022-06-30,132.22000122070312,157.97999572753906,152.8000030517578,272.75,17.479999542236328
2022-08-31,118.87999725341797,145.5,143.0800018310547,244.89999389648438,12.819999694824219
2022-10-31,89.5,137.44000244140625,108.37999725341797,234.14999389648438,15.371999740600586
2022-12-31,94.41999816894531,132.10000610351562,136.3000030517578,226.39999389648438,17.964000701904297
2023-02-28,94.97000122070312,150.0399932861328,193.39999389648438,262.0,25.2450008392334
2023-04-30,112.0,167.3800048828125,246.25,309.04998779296875,36.20500183105469
2023-06-30,120.81999969482422,177.8000030517578,291.6000061035156,303.29998779296875,42.334999084472656
2023-08-31,120.62000274658203,162.5800018310547,288.8999938964844,300.25,41.345001220703125
2023-10-31,133.05999755859375,172.74000549316406,296.3500061035156,345.54998779296875,42.915000915527344
2023-12-31,144.02000427246094,171.02000427246094,363.20001220703125,371.6499938964844,56.560001373291016
2024-02-29,166.5399932861328,158.55999755859375,449.8999938964844,389.0,83.88999938964844
2024-04-30,161.05999755859375,175.4600067138672,420.70001220703125,375.25,100.62000274658203
2024-06-30,172.6199951171875,205.9499969482422,438.3999938964844,386.1000061035156,107.0
2024-08-31,166.02000427246094,208.25,513.7000122070312,384.04998779296875,108.33999633789062
